date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-04-24,09:00 AM,Bracket,Tulsa SC ECNL GU18/U19,3,0,Challenge SC ECNL GU18/U19,Titan Main,Field 1,On Time,171887
2021-04-24,10:00 AM,Bracket,Solar ECNL GU18/U19,9,1,Sting Dallas Royal ECNL GU18/U19,Gateway Park,Field 4,On Time,171891
2021-04-24,01:00 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,,,AHFC ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171888
2021-04-24,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,2,2,Sting Austin ECNL GU18/U19,Carpenter Park,Field B,On Time,171889
2021-04-24,01:00 PM,Bracket,DKSC ECNL GU18/U19,5,0,Classics Elite ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171890
2021-04-25,08:00 AM,Bracket,Tulsa SC ECNL GU18/U19,1,1,AHFC ECNL GU18/U19,Titan Main,Field 2,On Time,171893
2021-04-25,11:00 AM,Bracket,Sting Dallas Black ECNL GU18/U19,6,0,Classics Elite ECNL GU18/U19,Sting Complex,Field 2,On Time,171895
2021-04-25,12:30 PM,Bracket,Oklahoma Celtic ECNL GU18/U19,0,3,Challenge SC ECNL GU18/U19,Oklahoma Celtic,Field 8,On Time,171894
2021-04-25,01:00 PM,Bracket,DKSC ECNL GU18/U19,7,1,Sting Austin ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171896
2021-04-25,01:00 PM,Bracket,Dallas Texans ECNL GU18/U19,,,Sting Dallas Royal ECNL GU18/U19,Rolling Hills Soccer Complex,Field 20,On Time,171898
2021-05-01,09:30 AM,Bracket,Oklahoma Celtic ECNL GU18/U19,2,4,Tulsa SC ECNL GU18/U19,Oklahoma Celtic,Field 11,On Time,171880
2021-05-01,01:00 PM,Bracket,AHFC ECNL GU18/U19,0,2,Sting Dallas Royal ECNL GU18/U19,Campbell Road Sports Park,Field 1,On Time,171899
2021-05-01,01:00 PM,Bracket,Challenge SC ECNL GU18/U19,,,FC Dallas ECNL GU18/U19,Burroughs Park,Field 4,On Time,171900
2021-05-01,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,0,1,Solar ECNL GU18/U19,Lowery Freshman Center Stadium,Field 1,On Time,171901
2021-05-01,01:00 PM,Bracket,DKSC ECNL GU18/U19,3,1,Dallas Texans ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171902
2021-05-02,11:00 AM,Bracket,DKSC ECNL GU18/U19,1,1,Solar ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,171906
